from_card,to_transaction
C08945-K2,3192583
C11923-K2,3192584
C08842-K2,3192585
C04668-K1,3192586
C12189-K1,3192587
C01119-K2,3192588
C00235-K2,3192589
C04655-K1,3192590
C10127-K2,3192591
C00854-K2,3192592
C06224-K2,3192593
C06224-K2,3192594
C04125-K2,3192595
C04126-K1,3192596
C04125-K2,3192597
C06373-K1,3192598
C08625-K1,3192599
C12458-K1,3192600
C04125-K2,3192601
C01109-K2,3192602
C02502-K2,3192603
C06630-K2,3192604
C05704-K2,3192605
C06210-K1,3192606
C04125-K2,3192607
C11923-K2,3192608
C03218-K2,3192609
C00773-K2,3192610
C02231-K1,3192611
C00579-K1,3192612
C05509-K1,3192613
C07648-K2,3192614
C02190-K1,3192615
C07062-K1,3192616
C06940-K1,3192617
C08616-K1,3192618
C07646-K2,3192619
C11625-K1,3192620
C05312-K2,3192621
C07867-K2,3192622
C09241-K2,3192623
C10867-K1,3192624
C01618-K2,3192625
C01110-K1,3192626
C07096-K2,3192627
C07239-K1,3192628
C03844-K1,3192629
C11625-K1,3192630
C12132-K1,3192631
C08962-K2,3192632
C08989-K2,3192633
C09241-K2,3192634
C11509-K2,3192635
C08256-K2,3192636
C05097-K2,3192637
C11031-K2,3192638
C06224-K2,3192639
C12961-K2,3192640
C11923-K2,3192641
C05444-K1,3192642
C05031-K2,3192643
C11098-K1,3192644
C03474-K1,3192645
C11743-K2,3192646
C10986-K2,3192647
C01155-K2,3192648
C01116-K2,3192649
C06821-K2,3192650
C11522-K2,3192651
C10922-K1,3192652
C06630-K2,3192653
C11945-K2,3192654
C06147-K2,3192655
C05876-K2,3192656
C13371-K1,3192657
C11923-K2,3192658
C11315-K1,3192659
C12166-K2,3192660
C09800-K2,3192661
C05383-K1,3192662
C01982-K2,3192663
C11944-K1,3192664
C04984-K2,3192665
C13124-K1,3192666
C05395-K2,3192667
C07962-K1,3192668
C06299-K1,3192669
C07936-K2,3192670
C10304-K1,3192671
C01521-K2,3192672
C03656-K2,3192673
C11945-K2,3192674
C08962-K2,3192675
C03244-K1,3192676
C02515-K2,3192677
C02354-K2,3192678
C07936-K2,3192679
C11923-K2,3192680
C11923-K2,3192681
C02809-K2,3192682
C08466-K1,3192683
C11000-K2,3192684
C08269-K1,3192685
C03047-K2,3192686
C01966-K1,3192687
C00854-K2,3192688
C04893-K1,3192689
C11522-K2,3192690
C03218-K2,3192691
C06630-K2,3192692
C10193-K2,3192693
C00509-K1,3192694
C05728-K1,3192695
C08842-K2,3192696
C11923-K2,3192697
C12276-K1,3192698
C04266-K1,3192699
C11522-K2,3192700
C08989-K2,3192701
C03633-K1,3192702
C13171-K2,3192703
C11923-K2,3192704
C04984-K2,3192705
C01618-K2,3192706
C08945-K2,3192707
C12276-K1,3192708
C06821-K2,3192709
C11923-K2,3192710
C11923-K2,3192711
C03598-K2,3192712
C00854-K2,3192713
C04125-K2,3192714
C09827-K1,3192715
C06147-K2,3192716
C08575-K1,3192717
C00854-K2,3192718
C08217-K1,3192719
C04125-K2,3192720
C01333-K2,3192721
C06224-K2,3192722
C01982-K2,3192723
C10193-K2,3192724
C00509-K1,3192725
C00272-K1,3192726
C11670-K2,3192727
C09365-K2,3192728
C03738-K2,3192729
C07743-K2,3192730
C01422-K1,3192731
C07646-K2,3192732
C06224-K2,3192733
C04125-K2,3192734
C07270-K1,3192735
C00509-K1,3192736
C08925-K1,3192737
C02331-K1,3192738
C09363-K2,3192739
C00606-K1,3192740
C03519-K1,3192741
C04865-K1,3192742
C11600-K1,3192743
C00400-K1,3192744
C00889-K2,3192745
C12703-K1,3192746
C02245-K2,3192747
C02245-K2,3192748
C05530-K2,3192749
C10867-K1,3192750
C04500-K1,3192751
C00400-K1,3192752
C02129-K1,3192753
C02902-K2,3192754
C00854-K2,3192755
C07518-K2,3192756
C03796-K1,3192757
C06764-K2,3192758
C03519-K1,3192759
C05245-K2,3192760
C12094-K2,3192761
C06744-K2,3192762
C09800-K2,3192763
C00331-K1,3192764
C07768-K1,3192765
C02129-K1,3192766
C12525-K1,3192767
C09800-K2,3192768
C09159-K1,3192769
C04125-K2,3192770
C05530-K2,3192771
C08909-K2,3192772
C01109-K2,3192773
C01119-K2,3192774
C10892-K2,3192775
C02716-K2,3192776
C06208-K1,3192777
C07741-K2,3192778
C06147-K2,3192779
C06744-K2,3192780
C04108-K2,3192781
C06740-K1,3192782
C03738-K2,3192783
C02707-K1,3192784
C09800-K2,3192785
C02972-K1,3192786
C08943-K2,3192787
C02479-K1,3192788
C08483-K1,3192789
C05786-K2,3192790
C03218-K2,3192791
C02573-K2,3192792
C00836-K1,3192793
C00400-K1,3192794
C11625-K1,3192795
C13486-K1,3192796
C08563-K1,3192797
C06858-K1,3192798
C06951-K1,3192799
C00768-K2,3192800
C11522-K2,3192801
C08695-K1,3192802
C00854-K2,3192803
C01109-K2,3192804
C08945-K2,3192805
C05986-K2,3192806
C09981-K2,3192807
C12166-K2,3192808
C02309-K2,3192809
C03796-K1,3192810
C03218-K2,3192811
C07867-K2,3192812
C03796-K1,3192813
C02902-K2,3192814
C12084-K2,3192815
C06190-K1,3192816
C05245-K2,3192817
C13440-K2,3192818
C04125-K2,3192819
C03872-K1,3192820
C12084-K2,3192821
C03725-K1,3192822
C12961-K2,3192823
C06756-K1,3192824
C05624-K1,3192825
C03427-K2,3192826
C09301-K2,3192827
C13015-K1,3192828
C02716-K2,3192829
C04434-K1,3192830
C04080-K1,3192831
C12012-K1,3192832
C07858-K2,3192833
C07867-K2,3192834
C02685-K1,3192835
C12028-K2,3192836
C10258-K1,3192837
C13440-K2,3192838
C13440-K2,3192839
C03218-K2,3192840
C12166-K2,3192841
C07360-K1,3192842
C08269-K1,3192843
C03295-K2,3192844
C02000-K2,3192845
C05786-K2,3192846
C11000-K2,3192847
C00400-K1,3192848
C06257-K1,3192849
C04125-K2,3192850
C03218-K2,3192851
C02685-K1,3192852
C07878-K1,3192853
C02147-K2,3192854
C07858-K2,3192855
C06435-K1,3192856
C00329-K2,3192857
C02902-K2,3192858
C08316-K1,3192859
C05704-K2,3192860
C10867-K1,3192861
C08489-K2,3192862
C07216-K1,3192863
C12690-K2,3192864
C10258-K1,3192865
C03738-K2,3192866
C03047-K2,3192867
C09933-K2,3192868
C11625-K1,3192869
C11709-K2,3192870
C12690-K2,3192871
C02310-K1,3192872
C02351-K1,3192873
C09365-K2,3192874
C07562-K2,3192875
C05625-K2,3192876
C03198-K1,3192877
C09241-K2,3192878
C13199-K1,3192879
C00768-K2,3192880
C11923-K2,3192881
C03970-K1,3192882
C04125-K2,3192883
C05731-K1,3192884
C11539-K2,3192885
C12690-K2,3192886
C02809-K2,3192887
C08256-K2,3192888
C06049-K1,3192889
C07729-K1,3192890
C04893-K1,3192891
C07341-K1,3192892
C05369-K1,3192893
C11037-K1,3192894
C10760-K2,3192895
C02902-K2,3192896
C07360-K1,3192897
C11294-K2,3192898
C11709-K2,3192899
C04108-K2,3192900
C02745-K1,3192901
C11923-K2,3192902
C09365-K2,3192903
C08945-K2,3192904
C00331-K1,3192905
C03047-K2,3192906
C09471-K2,3192907
C06855-K1,3192908
C00473-K1,3192909
C03278-K2,3192910
C06049-K1,3192911
C08391-K2,3192912
C09131-K1,3192913
C03218-K2,3192914
C12061-K2,3192915
C11709-K2,3192916
C01155-K2,3192917
C13440-K2,3192918
C11509-K2,3192919
C02354-K2,3192920
C04125-K2,3192921
C11558-K2,3192922
C03598-K2,3192923
C13214-K1,3192924
C00621-K2,3192925
C08037-K1,3192926
C02148-K1,3192927
C00768-K2,3192928
C02949-K1,3192929
C12690-K2,3192930
C08945-K2,3192931
C09970-K1,3192932
C10007-K1,3192933
C02764-K1,3192934
C07011-K1,3192935
C07919-K2,3192936
C02716-K2,3192937
C03575-K2,3192938
C06224-K2,3192939
C13051-K1,3192940
C04080-K1,3192941
C11000-K2,3192942
C04125-K2,3192943
C09301-K2,3192944
C03925-K1,3192945
C09800-K2,3192946
C10223-K1,3192947
C07919-K2,3192948
C06049-K1,3192949
C04125-K2,3192950
C04108-K2,3192951
C10986-K2,3192952
C05100-K1,3192953
C01619-K1,3192954
C11444-K1,3192955
C06835-K2,3192956
C02897-K1,3192957
C12302-K1,3192958
C12397-K1,3192959
C04984-K2,3192960
C02809-K2,3192961
C10757-K2,3192962
C06147-K2,3192963
C10970-K1,3192964
C02000-K2,3192965
C12932-K2,3192966
C02320-K2,3192967
C09666-K2,3192968
C08256-K2,3192969
C08945-K2,3192970
C04080-K1,3192971
C04117-K2,3192972
C03291-K1,3192973
C08674-K1,3192974
C03218-K2,3192975
C10890-K1,3192976
C07640-K1,3192977
C11000-K2,3192978
C00750-K2,3192979
C12104-K1,3192980
C06049-K1,3192981
C09363-K2,3192982
C03575-K2,3192983
C02214-K2,3192984
C12094-K2,3192985
C01370-K1,3192986
C09806-K1,3192987
C06049-K1,3192988
C02354-K2,3192989
C09657-K2,3192990
C01521-K2,3192991
C03218-K2,3192992
C10986-K2,3192993
C05247-K1,3192994
C07936-K2,3192995
C12146-K1,3192996
C04125-K2,3192997
C00952-K1,3192998
C00094-K3,3192999
C05876-K2,3193000
C08796-K1,3193001
C12103-K1,3193002
C11847-K2,3193003
C07936-K2,3193004
C09869-K1,3193005
C08962-K2,3193006
C02245-K2,3193007
C00854-K2,3193008
C11687-K1,3193009
C08637-K2,3193010
C06837-K1,3193011
C02716-K2,3193012
C09241-K2,3193013
C11687-K1,3193014
C02245-K2,3193015
C00094-K3,3193016
C06147-K2,3193017
C11687-K1,3193018
C00986-K1,3193019
C06056-K1,3193020
C05108-K1,3193021
C02342-K1,3193022
C01155-K2,3193023
C10601-K1,3193024
C10010-K1,3193025
C08695-K1,3193026
C08450-K2,3193027
C09657-K2,3193028
C06031-K2,3193029
C08372-K1,3193030
C08781-K1,3193031
C09657-K2,3193032
C12063-K1,3193033
C09241-K2,3193034
C08254-K1,3193035
C12259-K1,3193036
C13051-K1,3193037
C02573-K2,3193038
C11509-K2,3193039
C05677-K1,3193040
C13440-K2,3193041
C04393-K1,3193042
C01162-K1,3193043
C09251-K1,3193044
C06147-K2,3193045
C01333-K2,3193046
C01090-K1,3193047
C10422-K2,3193048
C03125-K2,3193049
C00854-K2,3193050
C01909-K2,3193051
C09301-K2,3193052
C04670-K1,3193053
C10601-K1,3193054
C01875-K1,3193055
C02076-K1,3193056
C01155-K2,3193057
C08945-K2,3193058
C10986-K2,3193059
C01965-K1,3193060
C02076-K1,3193061
C07828-K1,3193062
C07360-K1,3193063
C06437-K1,3193064
C06224-K2,3193065
C04108-K2,3193066
C09241-K2,3193067
C00854-K2,3193068
C07171-K2,3193069
C01333-K2,3193070
C02320-K2,3193071
C08372-K1,3193072
C00854-K2,3193073
C13402-K1,3193074
C10568-K1,3193075
C02809-K2,3193076
C09365-K2,3193077
C06084-K2,3193078
C06084-K2,3193079
C01119-K2,3193080
C03575-K2,3193081
C12403-K1,3193082
C09806-K1,3193083
C01119-K2,3193084
C03892-K2,3193085
C04597-K2,3193086
C05704-K2,3193087
C09582-K1,3193088
C03040-K2,3193089
C03218-K2,3193090
C01040-K2,3193091
C01965-K1,3193092
C01333-K2,3193093
C03316-K2,3193094
C04893-K1,3193095
C03125-K2,3193096
C01377-K1,3193097
C11709-K2,3193098
C11923-K2,3193099
C12689-K1,3193100
C01333-K2,3193101
C01155-K2,3193102
C11923-K2,3193103
C02573-K2,3193104
C11923-K2,3193105
C11031-K2,3193106
C09241-K2,3193107
C06744-K2,3193108
C02883-K2,3193109
C04125-K2,3193110
C11249-K1,3193111
C11923-K2,3193112
C10867-K1,3193113
C02902-K2,3193114
C05855-K1,3193115
C11249-K1,3193116
C11923-K2,3193117
C06147-K2,3193118
C01390-K1,3193119
C02084-K2,3193120
C07212-K2,3193121
C06147-K2,3193122
C04125-K2,3193123
C02142-K1,3193124
C05625-K2,3193125
C06147-K2,3193126
C11709-K2,3193127
C12061-K2,3193128
C03427-K2,3193129
C06121-K2,3193130
C12136-K2,3193131
C01359-K1,3193132
C09301-K2,3193133
C08943-K2,3193134
C00969-K2,3193135
C00094-K3,3193136
C02782-K2,3193137
C09800-K2,3193138
C13440-K2,3193139
C02044-K1,3193140
C10383-K1,3193141
C01109-K2,3193142
C12942-K2,3193143
C11923-K2,3193144
C06224-K2,3193145
C08578-K1,3193146
C08256-K2,3193147
C00768-K2,3193148
C05967-K1,3193149
C02716-K2,3193150
C04597-K2,3193151
C03218-K2,3193152
C11000-K2,3193153
C02902-K2,3193154
C10890-K1,3193155
C08962-K2,3193156
C03625-K1,3193157
C06224-K2,3193158
C12626-K2,3193159
C09241-K2,3193160
C01982-K2,3193161
C01825-K1,3193162
C08943-K2,3193163
C02902-K2,3193164
C08348-K1,3193165
C07311-K1,3193166
C09363-K2,3193167
C02147-K2,3193168
C07648-K2,3193169
C12426-K2,3193170
C12458-K1,3193171
C06224-K2,3193172
C06923-K1,3193173
C04125-K2,3193174
C04117-K2,3193175
C11923-K2,3193176
C05560-K2,3193177
C08943-K2,3193178
C05031-K2,3193179
C06798-K1,3193180
C04278-K1,3193181
C08637-K2,3193182
C06224-K2,3193183
C12863-K1,3193184
C10434-K1,3193185
C01377-K1,3193186
C01155-K2,3193187
C08733-K1,3193188
C07969-K1,3193189
C12991-K1,3193190
C08438-K1,3193191
C00808-K1,3193192
C00642-K1,3193193
C11534-K1,3193194
C09363-K2,3193195
C06630-K2,3193196
C03218-K2,3193197
C03532-K1,3193198
C05245-K2,3193199
C07571-K1,3193200
C09823-K1,3193201
C08072-K1,3193202
C12403-K1,3193203
C02354-K2,3193204
C04843-K1,3193205
C01119-K2,3193206
C06190-K1,3193207
C01612-K1,3193208
C03363-K2,3193209
C06438-K1,3193210
C01377-K1,3193211
C12598-K2,3193212
C05625-K2,3193213
C04108-K2,3193214
C02573-K2,3193215
C11496-K2,3193216
C04571-K2,3193217
C04546-K1,3193218
C10906-K1,3193219
C13171-K2,3193220
C01109-K2,3193221
C02458-K1,3193222
C09174-K1,3193223
C11238-K1,3193224
C00426-K2,3193225
C06663-K2,3193226
C07360-K1,3193227
C05292-K1,3193228
C06630-K2,3193229
C02069-K1,3193230
C11923-K2,3193231
C07216-K1,3193232
C08450-K2,3193233
C04984-K2,3193234
C04978-K1,3193235
C01719-K1,3193236
C06438-K1,3193237
C09238-K1,3193238
C09238-K1,3193239
C07297-K2,3193240
C00854-K2,3193241
C02809-K2,3193242
C11923-K2,3193243
C00854-K2,3193244
C05551-K2,3193245
C09241-K2,3193246
C05530-K2,3193247
C09363-K2,3193248
C03125-K2,3193249
C00854-K2,3193250
C09623-K1,3193251
C11709-K2,3193252
C12610-K1,3193253
C00744-K1,3193254
C07560-K2,3193255
C12084-K2,3193256
C02320-K2,3193257
C04125-K2,3193258
C02320-K2,3193259
C12084-K2,3193260
C02320-K2,3193261
C01119-K2,3193262
C05245-K2,3193263
C09241-K2,3193264
C12084-K2,3193265
C09800-K2,3193266
C11407-K1,3193267
C11923-K2,3193268
C08577-K1,3193269
C02320-K2,3193270
C02147-K2,3193271
C13041-K1,3193272
C11923-K2,3193273
C11923-K2,3193274
C11923-K2,3193275
C07339-K1,3193276
C06031-K2,3193277
C10568-K1,3193278
C11923-K2,3193279
C00059-K2,3193280
C00968-K1,3193281
C06734-K1,3193282
C02147-K2,3193283
C05245-K2,3193284
C05937-K1,3193285
C11923-K2,3193286
C09478-K1,3193287
C09363-K2,3193288
C05031-K2,3193289
C01333-K2,3193290
C09800-K2,3193291
C05684-K1,3193292
C04125-K2,3193293
C04108-K2,3193294
C05031-K2,3193295
C03218-K2,3193296
C00235-K2,3193297
C07962-K1,3193298
C07508-K2,3193299
C07648-K2,3193300
C09251-K1,3193301
C03427-K2,3193302
C11923-K2,3193303
C03363-K2,3193304
C09026-K1,3193305
C12517-K2,3193306
C07777-K1,3193307
C01109-K2,3193308
C07648-K2,3193309
C13171-K2,3193310
C02753-K1,3193311
C12897-K1,3193312
C06224-K2,3193313
C02000-K2,3193314
C06821-K2,3193315
C06224-K2,3193316
C02433-K1,3193317
C06821-K2,3193318
C09159-K1,3193319
C06428-K1,3193320
C02999-K2,3193321
C00426-K2,3193322
C07086-K1,3193323
C11923-K2,3193324
C01109-K2,3193325
C11923-K2,3193326
C06744-K2,3193327
C11923-K2,3193328
C11923-K2,3193329
C06224-K2,3193330
C02231-K2,3193331
C04597-K2,3193332
C02902-K2,3193333
C08945-K2,3193334
C10253-K2,3193335
C10986-K2,3193336
C12431-K1,3193337
C02902-K2,3193338
C10986-K2,3193339
C13051-K1,3193340
C10519-K1,3193341
C09251-K1,3193342
C05097-K2,3193343
C01155-K2,3193344
C01347-K2,3193345
C12267-K2,3193346
C08614-K1,3193347
C07936-K2,3193348
C02716-K2,3193349
C09800-K2,3193350
C09657-K2,3193351
C00917-K1,3193352
C11558-K2,3193353
C03218-K2,3193354
C11923-K2,3193355
C12166-K2,3193356
C09582-K1,3193357
C06075-K1,3193358
C02673-K1,3193359
C05245-K2,3193360
C11140-K1,3193361
C12690-K2,3193362
C08614-K1,3193363
C12166-K2,3193364
C07936-K2,3193365
C00160-K1,3193366
C04015-K1,3193367
C00489-K1,3193368
C13486-K1,3193369
C05859-K1,3193370
C11847-K2,3193371
C10164-K1,3193372
C00854-K2,3193373
C04306-K1,3193374
C13440-K2,3193375
C11709-K2,3193376
C04125-K2,3193377
C12835-K2,3193378
C13440-K2,3193379
C03528-K1,3193380
C05031-K2,3193381
C04125-K2,3193382
C02573-K2,3193383
C01618-K2,3193384
C10045-K1,3193385
C06224-K2,3193386
C09454-K1,3193387
C06224-K2,3193388
C13440-K2,3193389
C10127-K2,3193390
C06224-K2,3193391
C00329-K2,3193392
C10045-K1,3193393
C01618-K2,3193394
C07445-K1,3193395
C10507-K2,3193396
C11031-K2,3193397
C11031-K2,3193398
C07185-K2,3193399
C12932-K2,3193400
C07387-K1,3193401
C07360-K1,3193402
C10350-K1,3193403
C10507-K2,3193404
C08822-K1,3193405
C02716-K2,3193406
C04074-K1,3193407
C12295-K2,3193408
C06224-K2,3193409
C12094-K2,3193410
C07671-K2,3193411
C11031-K2,3193412
C07445-K1,3193413
C11885-K1,3193414
C08450-K2,3193415
C12295-K2,3193416
C08450-K2,3193417
C08081-K1,3193418
C09249-K1,3193419
C07671-K2,3193420
C11709-K2,3193421
C04125-K2,3193422
C01119-K2,3193423
C02968-K1,3193424
C13371-K1,3193425
C02000-K2,3193426
C12983-K1,3193427
C04125-K2,3193428
C03125-K2,3193429
C07861-K1,3193430
C04893-K1,3193431
C08943-K2,3193432
C07919-K2,3193433
C09582-K1,3193434
C09365-K2,3193435
C09800-K2,3193436
C05530-K2,3193437
C12517-K2,3193438
C09365-K2,3193439
C13471-K1,3193440
C05625-K2,3193441
C09471-K2,3193442
C10892-K2,3193443
C02354-K2,3193444
C10422-K2,3193445
C06224-K2,3193446
C12983-K1,3193447
C12983-K1,3193448
C01492-K1,3193449
C01119-K2,3193450
C06630-K2,3193451
C02354-K2,3193452
C03019-K1,3193453
C05337-K1,3193454
C07932-K1,3193455
C05128-K1,3193456
C07936-K2,3193457
C05245-K2,3193458
C01010-K1,3193459
C01285-K1,3193460
C06224-K2,3193461
C04125-K2,3193462
C11709-K2,3193463
C01155-K2,3193464
C04125-K2,3193465
C10553-K1,3193466
C01618-K2,3193467
C01116-K2,3193468
C03047-K2,3193469
C00782-K1,3193470
C08024-K1,3193471
C12900-K2,3193472
C05876-K2,3193473
C00768-K2,3193474
C07227-K2,3193475
C08962-K2,3193476
C13517-K1,3193477
C01823-K1,3193478
C05876-K2,3193479
C12690-K2,3193480
C04125-K2,3193481
C10773-K1,3193482
C04984-K2,3193483
C11709-K2,3193484
C12690-K2,3193485
C13051-K1,3193486
C09363-K2,3193487
C09076-K1,3193488
C11522-K2,3193489
C05876-K2,3193490
C09365-K2,3193491
C12886-K1,3193492
C08623-K2,3193493
C07646-K2,3193494
C05473-K1,3193495
C07074-K1,3193496
C10001-K1,3193497
C01138-K2,3193498
C01116-K2,3193499
C01892-K1,3193500
C06208-K1,3193501
C09666-K2,3193502
C12517-K2,3193503
C06121-K2,3193504
C07523-K1,3193505
C09026-K1,3193506
C04125-K2,3193507
C12690-K2,3193508
C04125-K2,3193509
C03633-K1,3193510
C09249-K1,3193511
C04125-K2,3193512
C12517-K2,3193513
C03558-K1,3193514
C03218-K2,3193515
C11509-K2,3193516
C04125-K2,3193517
C13440-K2,3193518
C09666-K2,3193519
C10137-K2,3193520
C02897-K1,3193521
C02573-K2,3193522
C05381-K2,3193523
C02250-K2,3193524
C02545-K2,3193525
C13390-K1,3193526
C02545-K2,3193527
C06125-K1,3193528
C13440-K2,3193529
C01169-K1,3193530
C03278-K2,3193531
C05322-K1,3193532
C11178-K1,3193533
C09629-K1,3193534
C11173-K1,3193535
C08460-K1,3193536
C09981-K2,3193537
C00235-K2,3193538
C09933-K2,3193539
C10843-K1,3193540
C07944-K1,3193541
C11923-K2,3193542
C01721-K2,3193543
C01721-K2,3193544
C09165-K2,3193545
C00750-K2,3193546
C10863-K1,3193547
C05704-K2,3193548
C11092-K2,3193549
C07954-K1,3193550
C02000-K2,3193551
C00956-K1,3193552
C05245-K2,3193553
C03639-K1,3193554
C09317-K1,3193555
C03808-K1,3193556
C00750-K2,3193557
C05097-K2,3193558
C09557-K1,3193559
C06760-K1,3193560
C05381-K2,3193561
C09165-K2,3193562
C04117-K2,3193563
C06744-K2,3193564
C11539-K2,3193565
C04125-K2,3193566
C02354-K2,3193567
C13227-K1,3193568
C04125-K2,3193569
C10715-K2,3193570
C07185-K2,3193571
C02502-K2,3193572
C00116-K1,3193573
C00854-K2,3193574
C00008-K2,3193575
C06121-K2,3193576
C06879-K1,3193577
C05689-K2,3193578
C11558-K2,3193579
C03714-K1,3193580
C00235-K2,3193581
C05858-K1,3193582
C02250-K2,3193583
C06031-K2,3193584
C03551-K1,3193585
C07858-K2,3193586
C08374-K1,3193587
C00235-K2,3193588
C08489-K2,3193589
C08269-K1,3193590
C02716-K2,3193591
C12961-K2,3193592
C02445-K1,3193593
C11558-K2,3193594
C12932-K2,3193595
C06559-K1,3193596
C02342-K1,3193597
C02445-K1,3193598
C05704-K2,3193599
C02445-K1,3193600
C12267-K2,3193601
C12517-K2,3193602
C10041-K1,3193603
C11000-K2,3193604
C06870-K1,3193605
C01155-K2,3193606
C07847-K2,3193607
C02250-K2,3193608
C01008-K1,3193609
C01982-K2,3193610
C03738-K2,3193611
C00854-K2,3193612
C01155-K2,3193613
C11687-K1,3193614
C01040-K2,3193615
C02000-K2,3193616
C06582-K2,3193617
C07646-K2,3193618
C09557-K1,3193619
C05263-K2,3193620
C06190-K1,3193621
C11709-K2,3193622
C01119-K2,3193623
C08451-K1,3193624
C07354-K2,3193625
C10867-K1,3193626
C01519-K1,3193627
C04125-K2,3193628
C09165-K2,3193629
C09165-K2,3193630
C07354-K2,3193631
C12211-K2,3193632
C00535-K1,3193633
C06481-K1,3193634
C03218-K2,3193635
C13051-K1,3193636
C01116-K2,3193637
C02445-K1,3193638
C12690-K2,3193639
C03218-K2,3193640
C00535-K1,3193641
C09911-K1,3193642
C11000-K2,3193643
C07562-K2,3193644
C00159-K1,3193645
C07646-K2,3193646
C00750-K2,3193647
C09365-K2,3193648
C09241-K2,3193649
C07185-K2,3193650
C00854-K2,3193651
C11539-K2,3193652
C07741-K2,3193653
C05876-K2,3193654
C11539-K2,3193655
C13041-K1,3193656
C07354-K2,3193657
C07858-K2,3193658
C09344-K1,3193659
C10563-K1,3193660
C04261-K1,3193661
C01615-K1,3193662
C07648-K2,3193663
C07185-K2,3193664
C05245-K2,3193665
C00057-K1,3193666
C03299-K2,3193667
C04125-K2,3193668
C00913-K1,3193669
C13103-K1,3193670
C03087-K1,3193671
C09363-K2,3193672
C07762-K1,3193673
C05625-K2,3193674
C07196-K2,3193675
C04965-K2,3193676
C01828-K2,3193677
C01721-K2,3193678
C02855-K1,3193679
C05636-K2,3193680
C11709-K2,3193681
C02573-K2,3193682
C00348-K1,3193683
C01864-K1,3193684
C02354-K2,3193685
C03738-K2,3193686
C08450-K2,3193687
C12166-K2,3193688
C07185-K2,3193689
C12061-K2,3193690
C03575-K2,3193691
C05560-K2,3193692
C12690-K2,3193693
C11709-K2,3193694
C10867-K1,3193695
C00129-K2,3193696
C05560-K2,3193697
C01982-K2,3193698
C08450-K2,3193699
C04125-K2,3193700
C02342-K1,3193701
C12517-K2,3193702
C05876-K2,3193703
C02716-K2,3193704
C02354-K2,3193705
C04798-K2,3193706
C02309-K2,3193707
C03040-K2,3193708
C12259-K1,3193709
C12031-K1,3193710
C00235-K2,3193711
C00726-K1,3193712
C12395-K1,3193713
C12259-K1,3193714
C12913-K1,3193715
C04984-K2,3193716
C11496-K2,3193717
C09800-K2,3193718
C05957-K2,3193719
C05245-K2,3193720
C10193-K2,3193721
C09149-K1,3193722
C12976-K1,3193723
C05704-K2,3193724
C06963-K1,3193725
C01155-K2,3193726
C02342-K1,3193727
C11923-K2,3193728
C01155-K2,3193729
C08489-K2,3193730
C04125-K2,3193731
C06337-K1,3193732
C10867-K1,3193733
C12690-K2,3193734
C02342-K1,3193735
C09933-K2,3193736
C01053-K1,3193737
C08962-K2,3193738
C11730-K1,3193739
C01040-K2,3193740
C04974-K1,3193741
C01982-K2,3193742
C08962-K2,3193743
C11539-K2,3193744
C12259-K1,3193745
C07750-K2,3193746
C00235-K2,3193747
C07646-K2,3193748
C08852-K1,3193749
C01155-K2,3193750
C04923-K1,3193751
C12259-K1,3193752
C00348-K1,3193753
C02311-K1,3193754
C09359-K1,3193755
C08989-K2,3193756
C00889-K2,3193757
C09359-K1,3193758
C00329-K2,3193759
C06494-K2,3193760
C12295-K2,3193761
C01155-K2,3193762
C02354-K2,3193763
C00750-K2,3193764
C06768-K1,3193765
C04125-K2,3193766
C05467-K1,3193767
C02573-K2,3193768
C12061-K2,3193769
C06224-K2,3193770
C12517-K2,3193771
C11709-K2,3193772
C02084-K2,3193773
C03299-K2,3193774
C07872-K2,3193775
C11923-K2,3193776
C11709-K2,3193777
C01119-K2,3193778
C05530-K2,3193779
C04965-K2,3193780
C04108-K2,3193781
C11210-K1,3193782
C12166-K2,3193783
C01040-K2,3193784
C11709-K2,3193785
C11496-K2,3193786
C07594-K1,3193787
C11709-K2,3193788
C06494-K2,3193789
C10867-K1,3193790
C12517-K2,3193791
C01996-K2,3193792
C06818-K1,3193793
C05689-K2,3193794
C08852-K1,3193795
C11919-K2,3193796
C11889-K2,3193797
C04828-K2,3193798
C06224-K2,3193799
C11965-K1,3193800
C11709-K2,3193801
C12961-K2,3193802
C08684-K2,3193803
C03589-K1,3193804
C12439-K1,3193805
C09800-K2,3193806
C05704-K2,3193807
C11543-K2,3193808
C10061-K1,3193809
C10344-K2,3193810
C12166-K2,3193811
C11509-K2,3193812
C09800-K2,3193813
C07212-K2,3193814
C08072-K1,3193815
C09359-K1,3193816
C12961-K2,3193817
C12226-K1,3193818
C01222-K1,3193819
C11709-K2,3193820
C09165-K2,3193821
C05859-K1,3193822
C09471-K2,3193823
C07838-K1,3193824
C07648-K2,3193825
C09165-K2,3193826
C09165-K2,3193827
C02502-K2,3193828
C09468-K2,3193829
C12166-K2,3193830
C12094-K2,3193831
C01618-K2,3193832
C00750-K2,3193833
C09666-K2,3193834
C05369-K1,3193835
C01155-K2,3193836
C09020-K1,3193837
C13440-K2,3193838
C01333-K2,3193839
C02502-K2,3193840
C08477-K2,3193841
C02342-K1,3193842
C04096-K2,3193843
C10249-K1,3193844
C08561-K1,3193845
C11923-K2,3193846
C12826-K1,3193847
C02515-K2,3193848
C04965-K2,3193849
C08106-K1,3193850
C05153-K2,3193851
C04125-K2,3193852
C09174-K1,3193853
