device_id,canonical_profile_str,device_info,os,browser,screen,device_type
DEV_8321bb5a238d,SAMSUNG SM-G892A Build/NRD90M | Android 7.0 | samsung browser 6.2 | 2220x1080,SAMSUNG SM-G892A Build/NRD90M,Android 7.0,samsung browser 6.2,2220x1080,mobile
DEV_769c87a513ff,iOS Device | iOS 11.2.0 | mobile safari 11.0 | 1136x640,iOS Device,iOS 11.2.0,mobile safari 11.0,1136x640,mobile
DEV_7c7e0566830d,Windows | Windows 10 | edge 13.0 | Unknown,Windows,Windows 10,edge 13.0,,desktop
DEV_37b22db21460,SM-G531H Build/LMY48B | Unknown | chrome 61.0 for android | Unknown,SM-G531H Build/LMY48B,,chrome 61.0 for android,,mobile
DEV_f852c1e7b8dc,Edison | Unknown | chrome 62.0 for android | Unknown,Edison,,chrome 62.0 for android,,mobile
DEV_817bfbbf9be2,Unknown | Linux | chrome 62.0 | 2562x1442,,Linux,chrome 62.0,2562x1442,desktop
DEV_4f2c32d291fd,iOS Device | iOS 11.1.1 | mobile safari generic | 1136x640,iOS Device,iOS 11.1.1,mobile safari generic,1136x640,mobile
DEV_b18f02e2d997,rv:57.0 | Windows 7 | firefox 57.0 | 1600x900,rv:57.0,Windows 7,firefox 57.0,1600x900,desktop
DEV_2c8337d24478,iOS Device | iOS | mobile safari 10.0 | 1334x750,iOS Device,iOS,mobile safari 10.0,1334x750,mobile
DEV_8a3f23092140,MacOS | Mac OS X 10_12_6 | chrome 61.0 | Unknown,MacOS,Mac OS X 10_12_6,chrome 61.0,,desktop
DEV_858f61053323,Hisense F20 Build/MMB29M | Unknown | chrome 62.0 for android | Unknown,Hisense F20 Build/MMB29M,,chrome 62.0 for android,,mobile
DEV_4c2a29658f0e,SM-J327V Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1280x720,SM-J327V Build/NRD90M,Android 7.0,chrome 62.0 for android,1280x720,mobile
DEV_124ba9bedd0c,iOS Device | iOS 11.0.3 | mobile safari generic | 2208x1242,iOS Device,iOS 11.0.3,mobile safari generic,2208x1242,mobile
DEV_4b652f369a13,LGLS775 Build/NRD90U | Android 7.0 | chrome 61.0 for android | 1280x720,LGLS775 Build/NRD90U,Android 7.0,chrome 61.0 for android,1280x720,mobile
DEV_cca82028a54c,MacOS | Mac OS X 10_12_5 | safari generic | 1280x800,MacOS,Mac OS X 10_12_5,safari generic,1280x800,desktop
DEV_7abe1516b00c,Windows | Windows 8.1 | chrome 62.0 | Unknown,Windows,Windows 8.1,chrome 62.0,,desktop
DEV_edacadba5b98,SM-A710M Build/LMY47X | Unknown | chrome 60.0 for android | Unknown,SM-A710M Build/LMY47X,,chrome 60.0 for android,,mobile
DEV_50cb841d806a,MacOS | Mac OS X 10_12_1 | chrome 62.0 | 2560x1600,MacOS,Mac OS X 10_12_1,chrome 62.0,2560x1600,desktop
DEV_4467ce5ce57c,iOS Device | iOS 11.0.0 | mobile safari 11.0 | 2048x1536,iOS Device,iOS 11.0.0,mobile safari 11.0,2048x1536,mobile
DEV_e579f00eccda,iOS Device | iOS 11.2.0 | mobile safari generic | 2208x1242,iOS Device,iOS 11.2.0,mobile safari generic,2208x1242,mobile
DEV_b900499539df,LG-LS777 Build/NRD90U | Android 7.0 | chrome 62.0 for android | 1280x720,LG-LS777 Build/NRD90U,Android 7.0,chrome 62.0 for android,1280x720,mobile
DEV_23ad222038f0,Windows | Windows 7 | ie 11.0 for desktop | Unknown,Windows,Windows 7,ie 11.0 for desktop,,desktop
DEV_70d56a359cc5,rv:57.0 | Mac OS X 10.10 | firefox 57.0 | 1680x1050,rv:57.0,Mac OS X 10.10,firefox 57.0,1680x1050,desktop
DEV_f0d848698146,Windows | Windows 10 | chrome 62.0 | 2560x1080,Windows,Windows 10,chrome 62.0,2560x1080,desktop
DEV_aa730b2e78bf,LG-H320 Build/LRX21Y | Unknown | chrome 51.0 for android | Unknown,LG-H320 Build/LRX21Y,,chrome 51.0 for android,,mobile
DEV_3514698fcd11,Windows | Windows 8.1 | ie 11.0 for desktop | Unknown,Windows,Windows 8.1,ie 11.0 for desktop,,desktop
DEV_af6f099376d2,Windows | Windows 10 | chrome 60.0 | 1920x1080,Windows,Windows 10,chrome 60.0,1920x1080,desktop
DEV_0995628aeff5,QTASUN1 Build/NRD90M | Android 7.0 | chrome 56.0 for android | 1920x1200,QTASUN1 Build/NRD90M,Android 7.0,chrome 56.0 for android,1920x1200,mobile
DEV_b58fd948a3f0,SM-J730G Build/NRD90M | Unknown | chrome 62.0 for android | Unknown,SM-J730G Build/NRD90M,,chrome 62.0 for android,,mobile
DEV_70a0a19f3ea7,rv:58.0 | Unknown | firefox generic | Unknown,rv:58.0,,firefox generic,,desktop
DEV_606d166f051c,HTC 10 Build/NRD90M | Android 7.0 | chrome 62.0 for android | 2560x1440,HTC 10 Build/NRD90M,Android 7.0,chrome 62.0 for android,2560x1440,mobile
DEV_70b3e0a71bab,rv:57.0 | Mac OS X 10.12 | firefox 57.0 | 2880x1800,rv:57.0,Mac OS X 10.12,firefox 57.0,2880x1800,desktop
DEV_49e1bd59b1fc,XT1063 | Unknown | chrome 62.0 for android | Unknown,XT1063,,chrome 62.0 for android,,mobile
DEV_676f2e931a08,iOS Device | iOS 11.1.2 | chrome 62.0 for ios | 2224x1668,iOS Device,iOS 11.1.2,chrome 62.0 for ios,2224x1668,mobile
DEV_bbeae903dffe,VS995 Build/NRD90M | Android 7.0 | chrome 62.0 for android | 2560x1440,VS995 Build/NRD90M,Android 7.0,chrome 62.0 for android,2560x1440,mobile
DEV_9b7862efb81c,MacOS | Mac OS X 10_11_3 | chrome 63.0 | 1600x900,MacOS,Mac OS X 10_11_3,chrome 63.0,1600x900,desktop
DEV_b679804d2b3f,SM-G550T Build/MMB29K | Android 6.0.1 | chrome 59.0 for android | 1280x720,SM-G550T Build/MMB29K,Android 6.0.1,chrome 59.0 for android,1280x720,mobile
DEV_bc1ac2aeb740,SAMSUNG SM-G930P Build/NRD90M | Android 7.0 | samsung browser 6.2 | 1920x1080,SAMSUNG SM-G930P Build/NRD90M,Android 7.0,samsung browser 6.2,1920x1080,mobile
DEV_49f268ea9ab5,MacOS | Mac | safari generic | 1680x1050,MacOS,Mac,safari generic,1680x1050,desktop
DEV_6b3d249a3bb7,LG-K530 Build/MMB29M | Unknown | chrome 62.0 for android | Unknown,LG-K530 Build/MMB29M,,chrome 62.0 for android,,mobile
DEV_1406b1ca2ca2,SAMSUNG SM-J701M Build/NRD90M | Unknown | samsung browser 6.2 | Unknown,SAMSUNG SM-J701M Build/NRD90M,,samsung browser 6.2,,mobile
DEV_09dfacbd12c9,MacOS | Mac OS X 10_10_5 | chrome 62.0 | 1440x900,MacOS,Mac OS X 10_10_5,chrome 62.0,1440x900,desktop
DEV_8c54c36c336d,SAMSUNG SM-T587P Build/NRD90M | Android 7.0 | samsung browser 6.2 | 1920x1200,SAMSUNG SM-T587P Build/NRD90M,Android 7.0,samsung browser 6.2,1920x1200,mobile
DEV_9b0d5099aa45,rv:57.0 | Mac OS X 10.10 | firefox 57.0 | 1280x800,rv:57.0,Mac OS X 10.10,firefox 57.0,1280x800,desktop
DEV_3659130c4e33,Windows | Windows 10 | chrome 62.0 | 2048x1152,Windows,Windows 10,chrome 62.0,2048x1152,desktop
DEV_89722a9551e9,SM-T530NU Build/LRX22G | Android 5.0.2 | chrome 62.0 for android | 1280x800,SM-T530NU Build/LRX22G,Android 5.0.2,chrome 62.0 for android,1280x800,mobile
DEV_528293b7cf51,SM-S920L | Android 5.0.2 | chrome 62.0 for android | 960x540,SM-S920L,Android 5.0.2,chrome 62.0 for android,960x540,mobile
DEV_fd328ea262e5,Windows | Windows 10 | firefox 56.0 | 1600x900,Windows,Windows 10,firefox 56.0,1600x900,desktop
DEV_bfba42584f9e,SM-G530H Build/LRX22G | Unknown | chrome 62.0 for android | Unknown,SM-G530H Build/LRX22G,,chrome 62.0 for android,,mobile
DEV_1e6f329343ef,LG-V410 | Android 5.0.2 | chrome 61.0 for android | Unknown,LG-V410,Android 5.0.2,chrome 61.0 for android,,mobile
DEV_9df9dd2d499a,Windows | Windows 8.1 | chrome 62.0 | 1728x972,Windows,Windows 8.1,chrome 62.0,1728x972,desktop
DEV_a628de1db06a,SAMSUNG SM-G891A Build/NRD90M | Android 7.0 | samsung browser 6.2 | 1920x1080,SAMSUNG SM-G891A Build/NRD90M,Android 7.0,samsung browser 6.2,1920x1080,mobile
DEV_3c26b2977237,iOS Device | iOS 11.1.2 | mobile safari generic | 2048x1536,iOS Device,iOS 11.1.2,mobile safari generic,2048x1536,mobile
DEV_6c905cdbade2,GT-P5113 | Android | chrome 62.0 for android | 1280x800,GT-P5113,Android,chrome 62.0 for android,1280x800,mobile
DEV_2bab6eeab31a,LG-H840 Build/NRD90U | Unknown | chrome 62.0 for android | Unknown,LG-H840 Build/NRD90U,,chrome 62.0 for android,,mobile
DEV_134f8aa71d9d,BAC-L03 Build/HUAWEIBAC-L03 | Unknown | chrome 62.0 for android | Unknown,BAC-L03 Build/HUAWEIBAC-L03,,chrome 62.0 for android,,mobile
DEV_a8c89952921c,Unknown | Unknown | chrome generic | Unknown,,,chrome generic,,desktop
DEV_5efedc571032,SAMSUNG SM-T810 Build/NRD90M | Unknown | samsung browser 6.2 | Unknown,SAMSUNG SM-T810 Build/NRD90M,,samsung browser 6.2,,mobile
DEV_0caab5763cf0,SM-G930V Build/NRD90M | Android 7.0 | chrome 61.0 for android | 1920x1080,SM-G930V Build/NRD90M,Android 7.0,chrome 61.0 for android,1920x1080,mobile
DEV_0e943436b94c,rv:11.0 | Windows 7 | ie 11.0 for desktop | 1366x768,rv:11.0,Windows 7,ie 11.0 for desktop,1366x768,desktop
DEV_480f93677740,Windows | Windows 10 | chrome 62.0 | 3000x2000,Windows,Windows 10,chrome 62.0,3000x2000,desktop
DEV_6f176f25c20e,Windows | Windows 10 | edge 15.0 | 1280x1024,Windows,Windows 10,edge 15.0,1280x1024,desktop
DEV_2d6c6c77cf3e,VS835 | Android 7.0 | chrome 62.0 for android | 1280x720,VS835,Android 7.0,chrome 62.0 for android,1280x720,mobile
DEV_98af5af13b11,LG-TP450 Build/NRD90U | Unknown | chrome 60.0 for android | Unknown,LG-TP450 Build/NRD90U,,chrome 60.0 for android,,mobile
DEV_80f4760594d8,rv:57.0 | Mac OS X 10.13 | firefox 57.0 | 1920x1080,rv:57.0,Mac OS X 10.13,firefox 57.0,1920x1080,desktop
DEV_db79c95d88f2,SM-J727V Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1280x720,SM-J727V Build/NRD90M,Android 7.0,chrome 62.0 for android,1280x720,mobile
DEV_5daf1ca14543,SM-G900T Build/MMB29M | Unknown | chrome 62.0 for android | Unknown,SM-G900T Build/MMB29M,,chrome 62.0 for android,,mobile
DEV_a4cc40b3bd0d,MacOS | Mac OS X 10_9_5 | chrome 62.0 | 1920x1080,MacOS,Mac OS X 10_9_5,chrome 62.0,1920x1080,desktop
DEV_cb8ee8c07d4b,rv:57.0 | Mac OS X 10.12 | firefox 57.0 | 1920x1080,rv:57.0,Mac OS X 10.12,firefox 57.0,1920x1080,desktop
DEV_63635e4e29ec,MacOS | Mac OS X 10_10_5 | safari generic | 1024x640,MacOS,Mac OS X 10_10_5,safari generic,1024x640,desktop
DEV_2fbeebc8655d,GT-I9060M Build/KTU84P | Unknown | chrome 60.0 for android | Unknown,GT-I9060M Build/KTU84P,,chrome 60.0 for android,,mobile
DEV_3ccc30370530,MacOS | Mac OS X 10_10_5 | chrome 62.0 | 2880x1800,MacOS,Mac OS X 10_10_5,chrome 62.0,2880x1800,desktop
DEV_1ddaa34b7eb4,Windows | Unknown | chrome 60.0 | Unknown,Windows,,chrome 60.0,,desktop
DEV_d41f8d2cae38,ALE-L23 Build/HuaweiALE-L23 | Unknown | chrome 62.0 for android | Unknown,ALE-L23 Build/HuaweiALE-L23,,chrome 62.0 for android,,mobile
DEV_46d63d78cee4,Windows | Windows Vista | chrome 49.0 | 1920x1080,Windows,Windows Vista,chrome 49.0,1920x1080,desktop
DEV_2799936cd5a2,Windows | Windows 8.1 | chrome 62.0 | 1280x1024,Windows,Windows 8.1,chrome 62.0,1280x1024,desktop
DEV_8243940b032e,SM-G955F Build/NRD90M | Unknown | chrome 62.0 for android | Unknown,SM-G955F Build/NRD90M,,chrome 62.0 for android,,mobile
DEV_21979157f74e,MacOS | Mac OS X 10_13_1 | safari generic | 3840x2400,MacOS,Mac OS X 10_13_1,safari generic,3840x2400,desktop
DEV_b8a98595a28d,Windows | Windows 10 | firefox 57.0 | 2560x1080,Windows,Windows 10,firefox 57.0,2560x1080,desktop
DEV_48cdcc8a7e20,Windows | Windows 8.1 | firefox 56.0 | 1920x1080,Windows,Windows 8.1,firefox 56.0,1920x1080,desktop
DEV_4c3bd2b73d80,iOS Device | iOS 10.3.3 | chrome | 2048x1536,iOS Device,iOS 10.3.3,chrome,2048x1536,mobile
DEV_0c2c15046333,KFDOWI Build/LVY48F | Android 5.1.1 | chrome generic | Unknown,KFDOWI Build/LVY48F,Android 5.1.1,chrome generic,,mobile
DEV_f10faf57735f,Unknown | Android 6.0.1 | android webview 4.0 | 1920x1080,,Android 6.0.1,android webview 4.0,1920x1080,mobile
DEV_8db490ed832c,iOS Device | iOS 11.0.2 | mobile safari generic | 2048x1536,iOS Device,iOS 11.0.2,mobile safari generic,2048x1536,mobile
DEV_55e4fbc04ec7,SM-J200M Build/LMY47X | Unknown | chrome 62.0 for android | Unknown,SM-J200M Build/LMY47X,,chrome 62.0 for android,,mobile
DEV_52f3694fc050,SM-J320H | Unknown | chrome 62.0 for android | Unknown,SM-J320H,,chrome 62.0 for android,,mobile
DEV_71682fbca8f2,Unknown | Linux | chrome 62.0 | 2220x1080,,Linux,chrome 62.0,2220x1080,desktop
DEV_19286760425d,MacOS | Mac OS X 10_6_8 | chrome 49.0 | 1920x1080,MacOS,Mac OS X 10_6_8,chrome 49.0,1920x1080,desktop
DEV_2babc314f52b,SAMSUNG SM-G950U Build/NRD90M | Android 7.0 | samsung browser 6.2 | Unknown,SAMSUNG SM-G950U Build/NRD90M,Android 7.0,samsung browser 6.2,,mobile
DEV_4b7e2844ea8e,BLADE V8 SE Build/NRD90M | Unknown | chrome 62.0 for android | Unknown,BLADE V8 SE Build/NRD90M,,chrome 62.0 for android,,mobile
DEV_c3a775b8f53d,Trident/7.0 | Windows 10 | ie 11.0 for desktop | 1440x900,Trident/7.0,Windows 10,ie 11.0 for desktop,1440x900,desktop
DEV_9e580047e0b0,iOS Device | iOS 11.2.0 | mobile safari 11.0 | 2208x1242,iOS Device,iOS 11.2.0,mobile safari 11.0,2208x1242,mobile
DEV_0d633e54bf6f,SM-N920T Build/NRD90M | Android 7.0 | chrome 62.0 for android | Unknown,SM-N920T Build/NRD90M,Android 7.0,chrome 62.0 for android,,mobile
DEV_7025214a19fa,MacOS | Mac OS X 10_12_6 | chrome 62.0 | 1280x800,MacOS,Mac OS X 10_12_6,chrome 62.0,1280x800,desktop
DEV_1bf799f3e91d,LG-H542 Build/MRA58K | Unknown | chrome 52.0 for android | Unknown,LG-H542 Build/MRA58K,,chrome 52.0 for android,,mobile
DEV_4d0bcc7b966d,Windows | Windows 8 | chrome 62.0 | 1920x1080,Windows,Windows 8,chrome 62.0,1920x1080,desktop
DEV_161fe1771e70,MacOS | Mac OS X 10_11_3 | safari generic | 1920x1080,MacOS,Mac OS X 10_11_3,safari generic,1920x1080,desktop
DEV_4f8088f1b605,Unknown | Linux | chrome 61.0 | 1920x1080,,Linux,chrome 61.0,1920x1080,desktop
DEV_abd340517be1,rv:52.0 | Windows 7 | firefox 52.0 | 1600x900,rv:52.0,Windows 7,firefox 52.0,1600x900,desktop
DEV_336b22c119dc,SM-G900V Build/MMB29M | Android 6.0.1 | chrome 57.0 for android | 1920x1080,SM-G900V Build/MMB29M,Android 6.0.1,chrome 57.0 for android,1920x1080,mobile
DEV_9778dc544044,iOS Device | iOS 11.2.0 | mobile safari generic | 2048x1536,iOS Device,iOS 11.2.0,mobile safari generic,2048x1536,mobile
DEV_ed0f6d9d643a,MacOS | Mac OS X 10_8_5 | safari generic | 2880x1800,MacOS,Mac OS X 10_8_5,safari generic,2880x1800,desktop
DEV_1b7b4aff8a34,MacOS | Mac OS X 10_10_5 | chrome 61.0 | 1280x800,MacOS,Mac OS X 10_10_5,chrome 61.0,1280x800,desktop
DEV_b8fd6026cf2f,SM-T330NU Build/LMY47X | Android 5.1.1 | chrome 61.0 for android | Unknown,SM-T330NU Build/LMY47X,Android 5.1.1,chrome 61.0 for android,,mobile
DEV_7a130e302290,Unknown | Unknown | chrome 51.0 | Unknown,,,chrome 51.0,,desktop
DEV_c058207d45e3,SAMSUNG SM-J500M Build/LMY48B | Unknown | other | Unknown,SAMSUNG SM-J500M Build/LMY48B,,other,,mobile
DEV_4d3fe1c8b27b,iOS Device | iOS 10.0.2 | mobile safari 10.0 | 2048x1536,iOS Device,iOS 10.0.2,mobile safari 10.0,2048x1536,mobile
DEV_6e676dbc0ba5,LG-M322 | Android 7.0 | chrome 62.0 for android | 1280x720,LG-M322,Android 7.0,chrome 62.0 for android,1280x720,mobile
DEV_c69e342a0ff5,CHC-U03 Build/HuaweiCHC-U03 | Unknown | chrome 62.0 for android | Unknown,CHC-U03 Build/HuaweiCHC-U03,,chrome 62.0 for android,,mobile
DEV_71bfbaf9e02e,Windows | Windows 10 | firefox 57.0 | 1280x1024,Windows,Windows 10,firefox 57.0,1280x1024,desktop
DEV_6131f2b61eba,Windows | Windows 10 | chrome 62.0 | 2304x1440,Windows,Windows 10,chrome 62.0,2304x1440,desktop
DEV_945a3cbffd79,HTC Desire 650 Build/MMB29M | Unknown | chrome 60.0 for android | Unknown,HTC Desire 650 Build/MMB29M,,chrome 60.0 for android,,mobile
DEV_c619f3af9781,SAMSUNG | Android 6.0.1 | samsung browser 6.2 | 2562x1442,SAMSUNG,Android 6.0.1,samsung browser 6.2,2562x1442,mobile
DEV_a5f8c638c0ad,iOS Device | iOS 11.1.1 | mobile safari generic | 2208x1242,iOS Device,iOS 11.1.1,mobile safari generic,2208x1242,mobile
DEV_b0d8072fb447,iOS Device | iOS | mobile safari 9.0 | 2048x1536,iOS Device,iOS,mobile safari 9.0,2048x1536,mobile
DEV_071dc1736c6c,iOS Device | iOS 11.1.1 | mobile safari 11.0 | 2224x1668,iOS Device,iOS 11.1.1,mobile safari 11.0,2224x1668,mobile
DEV_c18b0df4f465,Unknown | Linux | chrome 62.0 | 2560x1440,,Linux,chrome 62.0,2560x1440,desktop
DEV_5ba8d3664c8d,Windows | Windows 10 | chrome 62.0 | 1280x800,Windows,Windows 10,chrome 62.0,1280x800,desktop
DEV_b67407291c54,SAMSUNG-SM-G935A Build/NRD90M | Android 7.0 | chrome 57.0 for android | 2560x1440,SAMSUNG-SM-G935A Build/NRD90M,Android 7.0,chrome 57.0 for android,2560x1440,mobile
DEV_ed3d4099fc64,Windows | Windows 10 | chrome 62.0 | 2160x1440,Windows,Windows 10,chrome 62.0,2160x1440,desktop
DEV_8df86e2520bf,SM-G925I Build/NRD90M | Unknown | chrome 62.0 for android | Unknown,SM-G925I Build/NRD90M,,chrome 62.0 for android,,mobile
DEV_1780ec53b1f0,iOS Device | iOS 11.0.2 | mobile safari 11.0 | 2048x1536,iOS Device,iOS 11.0.2,mobile safari 11.0,2048x1536,mobile
DEV_11e50bc654a5,MacOS | Mac OS X 10_9_5 | safari generic | 2560x1600,MacOS,Mac OS X 10_9_5,safari generic,2560x1600,desktop
DEV_613117ff4644,LG-K200 Build/MXB48T | Unknown | chrome 62.0 for android | Unknown,LG-K200 Build/MXB48T,,chrome 62.0 for android,,mobile
DEV_5d628701a4c5,Aquaris | Unknown | chrome 61.0 for android | Unknown,Aquaris,,chrome 61.0 for android,,mobile
DEV_47749ecf6a76,SM-J710MN Build/MMB29K | Unknown | chrome 62.0 for android | Unknown,SM-J710MN Build/MMB29K,,chrome 62.0 for android,,mobile
DEV_56c440dc8051,Windows | Windows Vista | firefox 52.0 | 1280x600,Windows,Windows Vista,firefox 52.0,1280x600,desktop
DEV_a35114195f09,MacOS | Mac OS X 10_12_6 | safari generic | 3360x2100,MacOS,Mac OS X 10_12_6,safari generic,3360x2100,desktop
DEV_887350a5086e,SM-J120H Build/LMY47V | Unknown | chrome 61.0 for android | Unknown,SM-J120H Build/LMY47V,,chrome 61.0 for android,,mobile
DEV_d1ff8b9196ee,Alcatel_4060A | Android 5.1.1 | chrome generic | 855x480,Alcatel_4060A,Android 5.1.1,chrome generic,855x480,mobile
DEV_91797ce3888c,MacOS | Mac OS X 10_12_4 | safari generic | 3360x2100,MacOS,Mac OS X 10_12_4,safari generic,3360x2100,desktop
DEV_e71de3695514,iOS Device | iOS 10.2.1 | mobile safari generic | 2048x1536,iOS Device,iOS 10.2.1,mobile safari generic,2048x1536,mobile
DEV_c69d751c4243,LGMS631 Build/MRA58K | Android 6.0 | chrome 62.0 for android | 1280x720,LGMS631 Build/MRA58K,Android 6.0,chrome 62.0 for android,1280x720,mobile
DEV_c19e6c2c942f,SM-J510MN Build/MMB29M | Unknown | chrome 61.0 for android | Unknown,SM-J510MN Build/MMB29M,,chrome 61.0 for android,,mobile
DEV_4c0f04f45b20,Windows | Unknown | edge 16.0 | Unknown,Windows,,edge 16.0,,desktop
DEV_e77e6b188082,MOT-A6020l37 Build/LMY47V | Unknown | other | Unknown,MOT-A6020l37 Build/LMY47V,,other,,mobile
DEV_36108d929660,SAMSUNG | Android 5.1.1 | chrome generic | 1920x1080,SAMSUNG,Android 5.1.1,chrome generic,1920x1080,mobile
DEV_29ce1ecd800b,5011A Build/NRD90M | Unknown | chrome 56.0 for android | Unknown,5011A Build/NRD90M,,chrome 56.0 for android,,mobile
DEV_3cfe27d4fa7d,Windows | Windows 10 | chrome 61.0 | 1366x768,Windows,Windows 10,chrome 61.0,1366x768,desktop
DEV_b6aabcc6ad48,Windows | Windows 10 | edge 15.0 | 1024x768,Windows,Windows 10,edge 15.0,1024x768,desktop
DEV_bc96a1cbb52b,SM-T550 Build/NMF26X | Android 7.1.1 | chrome 62.0 for android | 1024x768,SM-T550 Build/NMF26X,Android 7.1.1,chrome 62.0 for android,1024x768,mobile
DEV_bb8a4151c324,MacOS | Mac OS X 10_13_2 | chrome 62.0 | 1440x900,MacOS,Mac OS X 10_13_2,chrome 62.0,1440x900,desktop
DEV_7953959d22ed,Windows | Windows Vista | chrome 49.0 | 1280x1024,Windows,Windows Vista,chrome 49.0,1280x1024,desktop
DEV_73c36513aa36,rv:57.0 | Unknown | firefox 57.0 | Unknown,rv:57.0,,firefox 57.0,,desktop
DEV_a93eb05eadb0,Moto G (5) Plus Build/NPNS25.137-15-11 | Unknown | chrome generic | Unknown,Moto G (5) Plus Build/NPNS25.137-15-11,,chrome generic,,desktop
DEV_2845a0064181,E6603 Build/32.4.A.1.54 | Unknown | chrome 62.0 for android | Unknown,E6603 Build/32.4.A.1.54,,chrome 62.0 for android,,mobile
DEV_98093c449c0e,Redmi 4A Build/MMB29M | Unknown | chrome 62.0 for android | Unknown,Redmi 4A Build/MMB29M,,chrome 62.0 for android,,mobile
DEV_2199ff12afde,Windows | Unknown | opera 49.0 | Unknown,Windows,,opera 49.0,,desktop
DEV_124b9a17ec19,iOS Device | iOS 11.2.0 | mobile safari 11.0 | 2001x1125,iOS Device,iOS 11.2.0,mobile safari 11.0,2001x1125,mobile
DEV_d6f53e1c729a,rv:55.0 | Mac OS X 10.10 | firefox 55.0 | 1920x1080,rv:55.0,Mac OS X 10.10,firefox 55.0,1920x1080,desktop
DEV_e5ac0ae3d607,SM-T520 | Android 4.4.2 | chrome 62.0 for android | 2560x1600,SM-T520,Android 4.4.2,chrome 62.0 for android,2560x1600,mobile
DEV_24d956af81b9,Trident/7.0 | Windows 7 | ie 11.0 for desktop | 1024x768,Trident/7.0,Windows 7,ie 11.0 for desktop,1024x768,desktop
DEV_f0a9681f8051,SM-G920V Build/NRD90M | Android 7.0 | chrome 56.0 for android | 2560x1440,SM-G920V Build/NRD90M,Android 7.0,chrome 56.0 for android,2560x1440,mobile
DEV_7004f7e24e11,HTC Desire 10 lifestyle Build/MMB29M | Unknown | chrome 62.0 for android | Unknown,HTC Desire 10 lifestyle Build/MMB29M,,chrome 62.0 for android,,mobile
DEV_695d981e1174,SM-A720F Build/MMB29K | Unknown | chrome 62.0 for android | Unknown,SM-A720F Build/MMB29K,,chrome 62.0 for android,,mobile
DEV_bc43c12e8b01,Moto G (5S | Unknown | chrome generic | Unknown,Moto G (5S,,chrome generic,,desktop
DEV_fa0544facf9e,SM-G925I Build/LMY47X | Unknown | chrome 62.0 for android | Unknown,SM-G925I Build/LMY47X,,chrome 62.0 for android,,mobile
DEV_4bffe524aa4e,SM-G930R4 Build/NRD90M | Android 7.0 | chrome 62.0 for android | 1920x1080,SM-G930R4 Build/NRD90M,Android 7.0,chrome 62.0 for android,1920x1080,mobile
DEV_c44da838b0c6,iOS Device | iOS 11.1.0 | mobile safari generic | 2208x1242,iOS Device,iOS 11.1.0,mobile safari generic,2208x1242,mobile
DEV_bb065999777c,LG-K410 Build/LRX22G | Unknown | chrome 61.0 for android | Unknown,LG-K410 Build/LRX22G,,chrome 61.0 for android,,mobile
DEV_41a673fba991,MacOS | Mac OS X 10_13_1 | chrome 62.0 | 2880x1620,MacOS,Mac OS X 10_13_1,chrome 62.0,2880x1620,desktop
DEV_a9ab615829ec,SAMSUNG SM-G610M Build/MMB29K | Unknown | samsung browser 6.2 | Unknown,SAMSUNG SM-G610M Build/MMB29K,,samsung browser 6.2,,mobile
DEV_f8b181a2f4c0,Lenovo K33b36 Build/NRD90N | Unknown | chrome 62.0 for android | Unknown,Lenovo K33b36 Build/NRD90N,,chrome 62.0 for android,,mobile
DEV_0dbc66290418,Unknown | Android | chrome 61.0 | 1366x768,,Android,chrome 61.0,1366x768,mobile
DEV_4e1cdc2cfcba,SM-G930U Build/NRD90M | Unknown | chrome 62.0 for android | Unknown,SM-G930U Build/NRD90M,,chrome 62.0 for android,,mobile
DEV_8607da8b54ef,MacOS | Mac OS X 10_10_5 | chrome 60.0 | 1280x800,MacOS,Mac OS X 10_10_5,chrome 60.0,1280x800,desktop
DEV_7484ea142991,Moto Z2 Play Build/NPS26.118-19 | Unknown | chrome 62.0 for android | Unknown,Moto Z2 Play Build/NPS26.118-19,,chrome 62.0 for android,,mobile
DEV_a1eaa3f64477,iOS Device | iOS 10.3.2 | chrome 62.0 for ios | 2732x2048,iOS Device,iOS 10.3.2,chrome 62.0 for ios,2732x2048,mobile
DEV_dd6cf4ba34ee,SAMSUNG SM-N950U Build/NMF26X | Android 7.1.1 | samsung browser 6.2 | Unknown,SAMSUNG SM-N950U Build/NMF26X,Android 7.1.1,samsung browser 6.2,,mobile
DEV_eac2a3f54f52,5012G Build/MRA58K | Unknown | chrome 62.0 for android | Unknown,5012G Build/MRA58K,,chrome 62.0 for android,,mobile
DEV_e1e1f42d96e0,MacOS | Mac OS X 10_11_6 | chrome 62.0 | 1920x1200,MacOS,Mac OS X 10_11_6,chrome 62.0,1920x1200,desktop
DEV_46fdcdbedf47,rv:52.0 | Windows Vista | firefox 52.0 | 1366x768,rv:52.0,Windows Vista,firefox 52.0,1366x768,desktop
DEV_d9579a66e0e1,rv:57.0 | Mac OS X 10.12 | firefox 57.0 | 1920x1200,rv:57.0,Mac OS X 10.12,firefox 57.0,1920x1200,desktop
DEV_4de5c0081775,SM-A320FL Build/MMB29K | Unknown | chrome 62.0 for android | Unknown,SM-A320FL Build/MMB29K,,chrome 62.0 for android,,mobile
DEV_fb5d9628dc34,Windows | Windows 7 | chrome | 1366x768,Windows,Windows 7,chrome,1366x768,desktop
